iter	Passed	Remaining
0	17	17933
1	44	22362
2	64	21388
3	81	20380
4	99	19735
5	116	19243
6	133	18936
7	150	18708
8	167	18444
9	185	18343
10	201	18123
11	217	17899
12	235	17895
13	251	17726
14	267	17570
15	284	17511
16	301	17451
17	320	17500
18	335	17317
19	350	17181
20	367	17111
21	383	17042
22	398	16917
23	413	16834
24	428	16714
25	445	16681
26	459	16544
27	472	16403
28	487	16338
29	503	16263
30	517	16161
31	533	16139
32	548	16065
33	562	15990
34	578	15940
35	591	15844
36	605	15751
37	619	15683
38	635	15649
39	648	15556
40	663	15525
41	677	15450
42	693	15428
43	709	15405
44	725	15387
45	740	15356
46	758	15371
47	773	15339
48	791	15359
49	808	15366
50	826	15388
51	841	15348
52	860	15369
53	875	15344
54	889	15289
55	907	15296
56	922	15261
57	939	15259
58	956	15255
59	972	15239
60	990	15251
61	1007	15247
62	1024	15239
63	1041	15229
64	1055	15183
65	1072	15181
66	1089	15173
67	1107	15177
68	1123	15162
69	1139	15140
70	1156	15128
71	1174	15134
72	1189	15104
73	1205	15087
74	1221	15067
75	1239	15067
76	1256	15055
77	1272	15038
78	1290	15048
79	1307	15032
80	1322	15002
81	1336	14965
82	1354	14966
83	1373	14975
84	1390	14963
85	1406	14947
86	1422	14925
87	1439	14916
88	1454	14889
89	1470	14871
90	1485	14838
91	1504	14845
92	1520	14826
93	1536	14810
94	1554	14812
95	1570	14791
96	1585	14760
97	1600	14732
98	1616	14708
99	1632	14689
100	1649	14683
101	1667	14682
102	1683	14661
103	1700	14649
104	1717	14637
105	1733	14616
106	1749	14603
107	1766	14590
108	1783	14578
109	1799	14559
110	1815	14542
111	1831	14521
112	1846	14497
113	1863	14482
114	1879	14462
115	1895	14446
116	1912	14434
117	1930	14431
118	1949	14432
119	1965	14416
120	1981	14392
121	1997	14377
122	2014	14365
123	2031	14350
124	2048	14340
125	2064	14321
126	2080	14300
127	2096	14285
128	2112	14263
129	2128	14242
130	2144	14225
131	2162	14218
132	2178	14202
133	2196	14192
134	2212	14175
